ID,NAME,LAT,LONG,ELEVATION
1,p-1553003,-15.940,-53.450,597.000
2,p-1554006,-15.989,-54.968,256.000
3,p-1555005,-15.840,-55.320,783.000
4,p-1556007,-15.699,-55.136,699.000
5,p-1653002,-16.350,-53.760,482.000
6,p-1653004,-16.940,-53.530,735.000
7,p-1653005,-16.670,-53.450,533.000
8,p-1654000,-16.471,-54.657,231.000
9,p-1654001,-16.674,-54.266,314.000
10,p-1654004,-16.843,-54.408,295.000
11,p-1654005,-16.391,-54.149,381.000
12,p-1754000,-17.210,-54.140,527.000
13,p-83358,-15.8274,-54.3955,374.350
14,p-A907,-16.4625,-54.5802,289.880
