FID,OBJECTID,Subbasin,Elev,Lat_dec,Lon_dec
0,1,1,556.000000000000000,-15.536708146200001,-54.944885894199999
1,2,2,587.000000000000000,-15.555872015600000,-55.081961191100000
2,3,3,622.000000000000000,-15.557620620300000,-54.737824853500001
3,4,4,511.000000000000000,-15.565613905199999,-54.665695438500002
4,5,5,472.000000000000000,-15.604610624799999,-54.927950354600000
5,6,6,631.000000000000000,-15.603637638000000,-54.774977559600003
6,7,7,424.000000000000000,-15.653055814100000,-54.746616089600003
7,8,8,532.000000000000000,-15.637420681500000,-54.625636046600000
8,9,9,530.000000000000000,-15.597477167299999,-54.839621729500003
9,10,10,432.000000000000000,-15.682403322200001,-54.797662904600003
10,11,11,519.000000000000000,-15.598586890200000,-54.275918855000000
11,12,12,543.000000000000000,-15.693772510700001,-54.694227722500003
12,13,13,575.000000000000000,-15.645263834700000,-55.126068424499998
13,14,14,692.000000000000000,-15.688773002800000,-54.218534752499998
14,15,15,475.000000000000000,-15.642801339600000,-54.359367316499998
15,16,16,432.000000000000000,-15.677766891899999,-54.307222101199997
16,17,17,403.000000000000000,-15.652602025400000,-54.919450814699999
17,18,18,389.000000000000000,-15.674911328800000,-54.879845598800003
18,19,19,530.000000000000000,-15.638851391599999,-54.478271355200000
19,20,20,710.000000000000000,-15.750647693800000,-55.166574476299999
20,21,21,507.000000000000000,-15.711574616700000,-54.502063854299998
21,22,22,689.000000000000000,-15.721436958200000,-55.208671343500001
22,23,23,324.000000000000000,-15.723296722700001,-54.915689288199999
23,24,24,485.000000000000000,-15.749956647499999,-55.080094943100001
24,25,25,560.000000000000000,-15.687594120900000,-55.029975355300003
25,26,26,430.000000000000000,-15.721564826900000,-54.327999450699998
26,27,27,417.000000000000000,-15.722527357700001,-54.264839565099997
27,28,28,421.000000000000000,-15.740298319400001,-54.861106137999997
28,29,29,328.000000000000000,-15.761007583500000,-55.026563982799999
29,30,30,316.000000000000000,-15.773193439400000,-54.998160094100001
30,31,31,330.000000000000000,-15.767193947899999,-54.947681473400003
31,32,32,441.000000000000000,-15.743988733700000,-54.396858193000000
32,33,33,391.000000000000000,-15.780610609900000,-54.324324211899999
33,34,34,625.000000000000000,-15.801721071399999,-55.121307987100003
34,35,35,308.000000000000000,-15.800643282499999,-54.980074668800000
35,36,36,372.000000000000000,-15.791049860899999,-54.869945518000002
36,37,37,531.000000000000000,-15.780121479900000,-54.462727560899999
37,38,38,343.000000000000000,-15.814860997000000,-54.365336447300002
38,39,39,483.000000000000000,-15.814651337600001,-54.508087572400001
39,40,40,346.000000000000000,-15.834977743200000,-54.397169226899997
40,41,41,383.000000000000000,-15.839066353100000,-54.357075523600002
41,42,42,562.000000000000000,-15.786710338700001,-54.728479056700003
42,43,43,546.000000000000000,-15.761475567700000,-54.613825562300001
43,44,44,288.000000000000000,-15.828855014000000,-54.953472176500000
44,45,45,433.000000000000000,-15.858361383700000,-55.049449695600003
45,46,46,359.000000000000000,-15.855665576300000,-54.682665813699998
46,47,47,481.000000000000000,-15.834574443299999,-54.610036428800001
47,48,48,448.000000000000000,-15.860101074099999,-54.489032604800002
48,49,49,684.000000000000000,-15.818927320600000,-54.090062744400001
49,50,50,603.000000000000000,-15.847403356499999,-54.018578153900002
50,51,51,453.000000000000000,-15.845238803699999,-54.714654742400000
51,52,52,458.000000000000000,-15.895451145799999,-54.636134276200004
52,53,53,309.000000000000000,-15.847335821000000,-54.923120892500002
53,54,54,309.000000000000000,-15.849563040700000,-54.826407584000002
54,55,55,408.000000000000000,-15.875250786400001,-54.356384581100002
